"","datasets","model","variable","value"
"434086","15","pcox1","hc",0.641304347826087
"434087","15","pcox1","hc",0.673076923076923
"434088","15","pcox1","hc",0.604395604395604
"434089","15","pcox1","hc",0.615384615384615
"434090","15","pcox1","hc",0.796610169491525
"434091","15","pcox1","hc",0.602040816326531
"434092","15","pcox1","hc",0.730769230769231
"434093","15","pcox1","hc",0.746987951807229
"434094","15","pcox1","hc",0.571428571428571
"434095","15","pcox1","hc",0.844155844155844
"434096","15","pcox1","hc",0.746666666666667
"434097","15","pcox1","hc",0.607142857142857
"434098","15","pcox1","hc",0.567307692307692
"434099","15","pcox1","hc",0.75
"434100","15","pcox1","hc",0.779411764705882
"434101","15","pcox1","hc",0.8
"434102","15","pcox1","hc",0.657142857142857
"434103","15","pcox1","hc",0.76
"434104","15","pcox1","hc",0.55
"434105","15","pcox1","hc",0.733333333333333
"434106","15","pcox1","hc",0.771739130434783
"434107","15","pcox1","hc",0.792452830188679
"434108","15","pcox1","hc",0.608695652173913
"434109","15","pcox1","hc",0.816666666666667
"434110","15","pcox1","hc",0.488636363636364
"434111","15","pcox1","hc",0.684782608695652
"434112","15","pcox1","hc",0.642857142857143
"434113","15","pcox1","hc",0.58695652173913
"434114","15","pcox1","hc",0.671052631578947
"434115","15","pcox1","hc",0.738095238095238
"434116","15","pcox1","hc",0.758241758241758
"434117","15","pcox1","hc",0.630769230769231
"434118","15","pcox1","hc",0.810810810810811
"434119","15","pcox1","hc",0.72289156626506
"434120","15","pcox1","hc",0.605263157894737
"434121","15","pcox1","hc",0.702380952380952
"434122","15","pcox1","hc",0.707070707070707
"434123","15","pcox1","hc",0.615384615384615
"434124","15","pcox1","hc",0.728813559322034
"434125","15","pcox1","hc",0.710843373493976
"434126","15","pcox1","hc",0.476190476190476
"434127","15","pcox1","hc",0.828571428571429
"434128","15","pcox1","hc",0.79047619047619
"434129","15","pcox1","hc",0.676470588235294
"434130","15","pcox1","hc",0.533333333333333
"434131","15","pcox1","hc",0.728260869565217
"434132","15","pcox1","hc",0.746987951807229
"434133","15","pcox1","hc",0.784615384615385
"434134","15","pcox1","hc",0.608695652173913
"434135","15","pcox1","hc",0.409638554216867
"434136","15","pcox1","hc",0.697247706422018
"434137","15","pcox1","hc",0.777777777777778
"434138","15","pcox1","hc",0.795918367346939
"434139","15","pcox1","hc",0.444444444444444
"434140","15","pcox1","hc",0.717948717948718
"434141","15","pcox1","hc",0.717171717171717
"434142","15","pcox1","hc",0.785714285714286
"434143","15","pcox1","hc",0.684782608695652
"434144","15","pcox1","hc",0.63855421686747
"434145","15","pcox1","hc",0.550724637681159
"434146","15","pcox1","hc",0.739130434782609
"434147","15","pcox1","hc",0.703296703296703
"434148","15","pcox1","hc",0.573333333333333
"434149","15","pcox1","hc",0.695652173913043
"434150","15","pcox1","hc",0.652173913043478
"434151","15","pcox1","hc",0.601941747572815
"434152","15","pcox1","hc",0.534246575342466
"434153","15","pcox1","hc",0.876923076923077
"434154","15","pcox1","hc",0.768115942028985
"434155","15","pcox1","hc",0.552631578947368
"434156","15","pcox1","hc",0.554054054054054
"434157","15","pcox1","hc",0.6
"434158","15","pcox1","hc",0.63265306122449
"434159","15","pcox1","hc",0.782608695652174
"434160","15","pcox1","hc",0.605263157894737
"434161","15","pcox1","hc",0.785714285714286
"434162","15","pcox1","hc",0.714285714285714
"434163","15","pcox1","hc",0.390625
"434164","15","pcox1","hc",0.779661016949153
"434165","15","pcox1","hc",0.526315789473684
"434166","15","pcox1","hc",0.706666666666667
"434167","15","pcox1","hc",0.8125
"434168","15","pcox1","hc",0.755102040816326
"434169","15","pcox1","hc",0.483333333333333
"434170","15","pcox1","hc",0.640449438202247
"434171","15","pcox1","hc",0.593406593406593
"434172","15","pcox1","hc",0.738461538461539
"434173","15","pcox1","hc",0.607142857142857
"434174","15","pcox1","hc",0.608695652173913
"434175","15","pcox1","hc",0.726190476190476
"434176","15","pcox1","hc",0.602409638554217
"434177","15","pcox1","hc",0.726190476190476
"434178","15","pcox1","hc",0.693333333333333
"434179","15","pcox1","hc",0.619047619047619
"434180","15","pcox1","hc",0.805970149253731
"434181","15","pcox1","hc",0.714285714285714
"434182","15","pcox1","hc",0.489130434782609
"434183","15","pcox1","hc",0.616161616161616
"434184","15","pcox1","hc",0.923076923076923
"434185","15","pcox1","hc",0.631578947368421
"434286","15","pcox3","hc",0.695652173913043
"434287","15","pcox3","hc",0.692307692307692
"434288","15","pcox3","hc",0.648351648351648
"434289","15","pcox3","hc",0.692307692307692
"434290","15","pcox3","hc",0.796610169491525
"434291","15","pcox3","hc",0.602040816326531
"434292","15","pcox3","hc",0.692307692307692
"434293","15","pcox3","hc",0.795180722891566
"434294","15","pcox3","hc",0.785714285714286
"434295","15","pcox3","hc",0.792207792207792
"434296","15","pcox3","hc",0.68
"434297","15","pcox3","hc",0.702380952380952
"434298","15","pcox3","hc",0.557692307692308
"434299","15","pcox3","hc",0.916666666666667
"434300","15","pcox3","hc",0.794117647058823
"434301","15","pcox3","hc",0.677777777777778
"434302","15","pcox3","hc",0.657142857142857
"434303","15","pcox3","hc",0.773333333333333
"434304","15","pcox3","hc",0.616666666666667
"434305","15","pcox3","hc",0.783333333333333
"434306","15","pcox3","hc",0.760869565217391
"434307","15","pcox3","hc",0.867924528301887
"434308","15","pcox3","hc",0.619565217391304
"434309","15","pcox3","hc",0.816666666666667
"434310","15","pcox3","hc",0.522727272727273
"434311","15","pcox3","hc",0.706521739130435
"434312","15","pcox3","hc",0.785714285714286
"434313","15","pcox3","hc",0.597826086956522
"434314","15","pcox3","hc",0.671052631578947
"434315","15","pcox3","hc",0.773809523809524
"434316","15","pcox3","hc",0.681318681318681
"434317","15","pcox3","hc",0.646153846153846
"434318","15","pcox3","hc",0.851351351351351
"434319","15","pcox3","hc",0.759036144578313
"434320","15","pcox3","hc",0.644736842105263
"434321","15","pcox3","hc",0.69047619047619
"434322","15","pcox3","hc",0.717171717171717
"434323","15","pcox3","hc",0.646153846153846
"434324","15","pcox3","hc",0.661016949152542
"434325","15","pcox3","hc",0.746987951807229
"434326","15","pcox3","hc",0.642857142857143
"434327","15","pcox3","hc",0.761904761904762
"434328","15","pcox3","hc",0.761904761904762
"434329","15","pcox3","hc",0.808823529411765
"434330","15","pcox3","hc",0.516666666666667
"434331","15","pcox3","hc",0.728260869565217
"434332","15","pcox3","hc",0.72289156626506
"434333","15","pcox3","hc",0.753846153846154
"434334","15","pcox3","hc",0.63768115942029
"434335","15","pcox3","hc",0.542168674698795
"434336","15","pcox3","hc",0.669724770642202
"434337","15","pcox3","hc",0.808080808080808
"434338","15","pcox3","hc",0.744897959183674
"434339","15","pcox3","hc",0.444444444444444
"434340","15","pcox3","hc",0.743589743589744
"434341","15","pcox3","hc",0.727272727272727
"434342","15","pcox3","hc",0.738095238095238
"434343","15","pcox3","hc",0.717391304347826
"434344","15","pcox3","hc",0.759036144578313
"434345","15","pcox3","hc",0.608695652173913
"434346","15","pcox3","hc",0.739130434782609
"434347","15","pcox3","hc",0.714285714285714
"434348","15","pcox3","hc",0.626666666666667
"434349","15","pcox3","hc",0.72463768115942
"434350","15","pcox3","hc",0.63768115942029
"434351","15","pcox3","hc",0.495145631067961
"434352","15","pcox3","hc",0.671232876712329
"434353","15","pcox3","hc",0.830769230769231
"434354","15","pcox3","hc",0.72463768115942
"434355","15","pcox3","hc",0.631578947368421
"434356","15","pcox3","hc",0.608108108108108
"434357","15","pcox3","hc",0.626666666666667
"434358","15","pcox3","hc",0.683673469387755
"434359","15","pcox3","hc",0.898550724637681
"434360","15","pcox3","hc",0.644736842105263
"434361","15","pcox3","hc",0.785714285714286
"434362","15","pcox3","hc",0.758241758241758
"434363","15","pcox3","hc",0.421875
"434364","15","pcox3","hc",0.76271186440678
"434365","15","pcox3","hc",0.578947368421053
"434366","15","pcox3","hc",0.68
"434367","15","pcox3","hc",0.90625
"434368","15","pcox3","hc",0.73469387755102
"434369","15","pcox3","hc",0.55
"434370","15","pcox3","hc",0.707865168539326
"434371","15","pcox3","hc",0.648351648351648
"434372","15","pcox3","hc",0.846153846153846
"434373","15","pcox3","hc",0.619047619047619
"434374","15","pcox3","hc",0.666666666666667
"434375","15","pcox3","hc",0.80952380952381
"434376","15","pcox3","hc",0.518072289156627
"434377","15","pcox3","hc",0.773809523809524
"434378","15","pcox3","hc",0.76
"434379","15","pcox3","hc",0.678571428571429
"434380","15","pcox3","hc",0.880597014925373
"434381","15","pcox3","hc",0.678571428571429
"434382","15","pcox3","hc",0.576086956521739
"434383","15","pcox3","hc",0.616161616161616
"434384","15","pcox3","hc",0.846153846153846
"434385","15","pcox3","hc",0.657894736842105
"434686","15","coxboost","hc",0.695652173913043
"434687","15","coxboost","hc",0.653846153846154
"434688","15","coxboost","hc",0.582417582417582
"434689","15","coxboost","hc",0.641025641025641
"434690","15","coxboost","hc",0.796610169491525
"434691","15","coxboost","hc",0.653061224489796
"434692","15","coxboost","hc",0.682692307692308
"434693","15","coxboost","hc",0.506024096385542
"434694","15","coxboost","hc",0.928571428571429
"434695","15","coxboost","hc",0.636363636363636
"434696","15","coxboost","hc",0.546666666666667
"434697","15","coxboost","hc",0.654761904761905
"434698","15","coxboost","hc",0.519230769230769
"434699","15","coxboost","hc",0.883333333333333
"434700","15","coxboost","hc",0.779411764705882
"434701","15","coxboost","hc",0.644444444444444
"434702","15","coxboost","hc",0.695238095238095
"434703","15","coxboost","hc",0.8
"434704","15","coxboost","hc",0.666666666666667
"434705","15","coxboost","hc",0.616666666666667
"434706","15","coxboost","hc",0.641304347826087
"434707","15","coxboost","hc",0.886792452830189
"434708","15","coxboost","hc",0.554347826086957
"434709","15","coxboost","hc",0.866666666666667
"434710","15","coxboost","hc",0.579545454545455
"434711","15","coxboost","hc",0.641304347826087
"434712","15","coxboost","hc",0.761904761904762
"434713","15","coxboost","hc",0.478260869565217
"434714","15","coxboost","hc",0.460526315789474
"434715","15","coxboost","hc",0.619047619047619
"434716","15","coxboost","hc",0.538461538461538
"434717","15","coxboost","hc",0.615384615384615
"434718","15","coxboost","hc",0.621621621621622
"434719","15","coxboost","hc",0.590361445783133
"434720","15","coxboost","hc",0.671052631578947
"434721","15","coxboost","hc",0.428571428571429
"434722","15","coxboost","hc",0.585858585858586
"434723","15","coxboost","hc",0.723076923076923
"434724","15","coxboost","hc",0.677966101694915
"434725","15","coxboost","hc",0.650602409638554
"434726","15","coxboost","hc",0.404761904761905
"434727","15","coxboost","hc",0.666666666666667
"434728","15","coxboost","hc",0.657142857142857
"434729","15","coxboost","hc",0.705882352941177
"434730","15","coxboost","hc",0.516666666666667
"434731","15","coxboost","hc",0.75
"434732","15","coxboost","hc",0.626506024096386
"434733","15","coxboost","hc",0.769230769230769
"434734","15","coxboost","hc",0.565217391304348
"434735","15","coxboost","hc",0.674698795180723
"434736","15","coxboost","hc",0.669724770642202
"434737","15","coxboost","hc",0.686868686868687
"434738","15","coxboost","hc",0.724489795918367
"434739","15","coxboost","hc",0.481481481481481
"434740","15","coxboost","hc",0.615384615384615
"434741","15","coxboost","hc",0.656565656565657
"434742","15","coxboost","hc",0.571428571428571
"434743","15","coxboost","hc",0.608695652173913
"434744","15","coxboost","hc",0.72289156626506
"434745","15","coxboost","hc",0.434782608695652
"434746","15","coxboost","hc",0.597826086956522
"434747","15","coxboost","hc",0.67032967032967
"434748","15","coxboost","hc",0.613333333333333
"434749","15","coxboost","hc",0.782608695652174
"434750","15","coxboost","hc",0.695652173913043
"434751","15","coxboost","hc",0.58252427184466
"434752","15","coxboost","hc",0.424657534246575
"434753","15","coxboost","hc",0.830769230769231
"434754","15","coxboost","hc",0.710144927536232
"434755","15","coxboost","hc",0.75
"434756","15","coxboost","hc",0.864864864864865
"434757","15","coxboost","hc",0.68
"434758","15","coxboost","hc",0.551020408163265
"434759","15","coxboost","hc",0.768115942028985
"434760","15","coxboost","hc",0.539473684210526
"434761","15","coxboost","hc",0.73469387755102
"434762","15","coxboost","hc",0.736263736263736
"434763","15","coxboost","hc",0.359375
"434764","15","coxboost","hc",0.76271186440678
"434765","15","coxboost","hc",0.552631578947368
"434766","15","coxboost","hc",0.733333333333333
"434767","15","coxboost","hc",0.53125
"434768","15","coxboost","hc",0.704081632653061
"434769","15","coxboost","hc",0.583333333333333
"434770","15","coxboost","hc",0.617977528089888
"434771","15","coxboost","hc",0.582417582417582
"434772","15","coxboost","hc",0.584615384615385
"434773","15","coxboost","hc",0.488095238095238
"434774","15","coxboost","hc",0.652173913043478
"434775","15","coxboost","hc",0.75
"434776","15","coxboost","hc",0.602409638554217
"434777","15","coxboost","hc",0.726190476190476
"434778","15","coxboost","hc",0.746666666666667
"434779","15","coxboost","hc",0.666666666666667
"434780","15","coxboost","hc",0.701492537313433
"434781","15","coxboost","hc",0.642857142857143
"434782","15","coxboost","hc",0.521739130434783
"434783","15","coxboost","hc",0.535353535353535
"434784","15","coxboost","hc",0.948717948717949
"434785","15","coxboost","hc",0.763157894736842
"434986","15","gacoxboost","hc",0.793478260869565
"434987","15","gacoxboost","hc",0.673076923076923
"434988","15","gacoxboost","hc",0.615384615384615
"434989","15","gacoxboost","hc",0.641025641025641
"434990","15","gacoxboost","hc",0.593220338983051
"434991","15","gacoxboost","hc",0.663265306122449
"434992","15","gacoxboost","hc",0.817307692307692
"434993","15","gacoxboost","hc",0.578313253012048
"434994","15","gacoxboost","hc",0.428571428571429
"434995","15","gacoxboost","hc",0.688311688311688
"434996","15","gacoxboost","hc",0.72
"434997","15","gacoxboost","hc",0.857142857142857
"434998","15","gacoxboost","hc",0.528846153846154
"434999","15","gacoxboost","hc",0.916666666666667
"435000","15","gacoxboost","hc",0.764705882352941
"435001","15","gacoxboost","hc",0.5
"435002","15","gacoxboost","hc",0.552380952380952
"435003","15","gacoxboost","hc",0.733333333333333
"435004","15","gacoxboost","hc",0.816666666666667
"435005","15","gacoxboost","hc",0.733333333333333
"435006","15","gacoxboost","hc",0.684782608695652
"435007","15","gacoxboost","hc",0.566037735849057
"435008","15","gacoxboost","hc",0.532608695652174
"435009","15","gacoxboost","hc",0.583333333333333
"435010","15","gacoxboost","hc",0.625
"435011","15","gacoxboost","hc",0.695652173913043
"435012","15","gacoxboost","hc",0.785714285714286
"435013","15","gacoxboost","hc",0.641304347826087
"435014","15","gacoxboost","hc",0.460526315789474
"435015","15","gacoxboost","hc",0.476190476190476
"435016","15","gacoxboost","hc",0.582417582417582
"435017","15","gacoxboost","hc",0.753846153846154
"435018","15","gacoxboost","hc",0.662162162162162
"435019","15","gacoxboost","hc",0.614457831325301
"435020","15","gacoxboost","hc",0.789473684210526
"435021","15","gacoxboost","hc",0.714285714285714
"435022","15","gacoxboost","hc",0.707070707070707
"435023","15","gacoxboost","hc",0.430769230769231
"435024","15","gacoxboost","hc",0.542372881355932
"435025","15","gacoxboost","hc",0.807228915662651
"435026","15","gacoxboost","hc",0.261904761904762
"435027","15","gacoxboost","hc",0.59047619047619
"435028","15","gacoxboost","hc",0.59047619047619
"435029","15","gacoxboost","hc",0.705882352941177
"435030","15","gacoxboost","hc",0.466666666666667
"435031","15","gacoxboost","hc",0.75
"435032","15","gacoxboost","hc",0.590361445783133
"435033","15","gacoxboost","hc",0.707692307692308
"435034","15","gacoxboost","hc",0.36231884057971
"435035","15","gacoxboost","hc",0.783132530120482
"435036","15","gacoxboost","hc",0.651376146788991
"435037","15","gacoxboost","hc",0.828282828282828
"435038","15","gacoxboost","hc",0.602040816326531
"435039","15","gacoxboost","hc",0.555555555555556
"435040","15","gacoxboost","hc",0.846153846153846
"435041","15","gacoxboost","hc",0.575757575757576
"435042","15","gacoxboost","hc",0.357142857142857
"435043","15","gacoxboost","hc",0.66304347826087
"435044","15","gacoxboost","hc",0.63855421686747
"435045","15","gacoxboost","hc",0.260869565217391
"435046","15","gacoxboost","hc",0.75
"435047","15","gacoxboost","hc",0.450549450549451
"435048","15","gacoxboost","hc",0.626666666666667
"435049","15","gacoxboost","hc",0.710144927536232
"435050","15","gacoxboost","hc",0.753623188405797
"435051","15","gacoxboost","hc",0.543689320388349
"435052","15","gacoxboost","hc",0.794520547945205
"435053","15","gacoxboost","hc",0.784615384615385
"435054","15","gacoxboost","hc",0.608695652173913
"435055","15","gacoxboost","hc",0.684210526315789
"435056","15","gacoxboost","hc",0.567567567567568
"435057","15","gacoxboost","hc",0.693333333333333
"435058","15","gacoxboost","hc",0.530612244897959
"435059","15","gacoxboost","hc",0.91304347826087
"435060","15","gacoxboost","hc",0.618421052631579
"435061","15","gacoxboost","hc",0.693877551020408
"435062","15","gacoxboost","hc",0.78021978021978
"435063","15","gacoxboost","hc",0.359375
"435064","15","gacoxboost","hc",0.813559322033898
"435065","15","gacoxboost","hc",0.381578947368421
"435066","15","gacoxboost","hc",0.693333333333333
"435067","15","gacoxboost","hc",0.6875
"435068","15","gacoxboost","hc",0.663265306122449
"435069","15","gacoxboost","hc",0.666666666666667
"435070","15","gacoxboost","hc",0.775280898876405
"435071","15","gacoxboost","hc",0.703296703296703
"435072","15","gacoxboost","hc",0.815384615384615
"435073","15","gacoxboost","hc",0.666666666666667
"435074","15","gacoxboost","hc",0.623188405797101
"435075","15","gacoxboost","hc",0.702380952380952
"435076","15","gacoxboost","hc",0.566265060240964
"435077","15","gacoxboost","hc",0.69047619047619
"435078","15","gacoxboost","hc",0.6
"435079","15","gacoxboost","hc",0.714285714285714
"435080","15","gacoxboost","hc",0.656716417910448
"435081","15","gacoxboost","hc",0.571428571428571
"435082","15","gacoxboost","hc",0.532608695652174
"435083","15","gacoxboost","hc",0.575757575757576
"435084","15","gacoxboost","hc",0.743589743589744
"435085","15","gacoxboost","hc",0.671052631578947
